,title,company,salary,location,hiringStatus,postedDate
74,Automation Software Developer,"Engineering Specialists, Inc.",$120K,"Milwaukee, WI",Actively Hiring,2023-01-09
75,Senior Engineer II Software/Mobility Domain,ST Engineering iDirect,$80K - $100K,"Herndon, VA",Actively Hiring,2023-01-09
76,Embedded Software Engineer,First Consulting Inc.,$80K - $120K,"Rochester, NY",Actively Hiring,2023-01-09
77,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$63K - $97K,"Dublin, OH",Actively Hiring,2023-01-20
78,Software Engineer III,Paychex,$80K - $180K,"Rochester, NY",Actively Hiring,2023-01-09
79,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$66K - $95K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
80,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$66K - $97K,"Syracuse, NY",Actively Hiring,2023-01-09
81,Mid-Level Software Engineer,"Usio, Inc.",$76K - $105K,"San Antonio, TX",Actively Hiring,2023-01-09
82,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$80K - $120K,"Mason, OH",Actively Hiring,2023-01-26
83,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
84,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
85,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
86,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
87,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
88,Senior Software Development Engineer,The Morey Corporation,$96K - $129K,"Woodridge, IL",Actively Hiring,2023-01-09
89,Embedded Software Engineer,RDM Industrial Electronics,$40.00 - $50.66 Per Hour(Employer est.),"Nebo, NC",Actively Hiring,2023-01-09
90,Embedded Software Engineer,First Consulting Inc.,$120K,"Rochester, NY",Actively Hiring,2023-01-09
91,Robotics Engineer AI/ ML/ VR,"BCI Solutions, Inc.",$47K - $68K,"Bremen, IN",Actively Hiring,2023-01-16
92,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$80K - $100K,"Dublin, OH",Actively Hiring,2023-01-20
93,Senior Software Engineer,ST Engineering iDirect,$110K - $143K,"Herndon, VA",Actively Hiring,2023-01-09
94,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$63K - $97K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
95,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$80K - $180K,"Syracuse, NY",Actively Hiring,2023-01-09
96,Sr. Embedded Software Engineer,Kitchen Brains,$100K,"Stratford, CT",Actively Hiring,2023-01-09
97,Software Engineer III,Paychex,$80K - $120K,"Rochester, NY",Actively Hiring,2023-01-09
98,Senior Software Engineer (ACIST),CRL Technologies,$87K - $123K,"Lexington Park, MD",Actively Hiring,2023-01-09
99,Mid-Level Software Engineer,"Usio, Inc.",$66K - $95K,"San Antonio, TX",Actively Hiring,2023-01-09
100,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$66K - $97K,"Mason, OH",Actively Hiring,2023-01-26
101,Software Developer - Product,McLeod Software,$95K - $110K,"Birmingham, AL",Actively Hiring,2023-01-09
